instance,n_groups,seed_ms,rt_baseline_ms,feasible_baseline,s1_baseline,s2_baseline,s3_baseline,rt_full_ms,feasible_full,s1_full,s2_full,s3_full
1,5,236.9,69.9,1.0,4.0,0.0,0,78.44,1.0,5.0,1.0,0
2,5,235.3,79.25,1.0,4.0,0.0,0,97.61,1.0,5.0,1.0,0
3,5,222.8,64.85,1.0,4.0,0.0,0,64.84,1.0,5.0,1.0,0
4,5,216.5,64.66,1.0,4.0,0.0,0,64.98,1.0,5.0,1.0,0
5,5,269.3,66.36,1.0,4.0,0.0,0,63.67,1.0,5.0,1.0,0
6,5,224.8,62.09,1.0,4.0,0.0,0,65.92,1.0,5.0,1.0,0
7,5,254.4,77.82,1.0,4.0,0.0,0,69.47,1.0,5.0,1.0,0
8,5,228.8,70.47,1.0,4.0,0.0,0,101.96,1.0,5.0,1.0,0
9,5,220.9,60.44,1.0,4.0,0.0,0,60.8,1.0,5.0,1.0,0
10,5,220.7,76.19,1.0,4.0,0.0,0,76.95,1.0,5.0,1.0,0
11,5,231.9,65.33,1.0,4.0,0.0,0,89.53,1.0,5.0,1.0,0
12,5,241.0,75.43,1.0,4.0,0.0,0,75.61,1.0,5.0,1.0,0
13,5,228.1,68.75,1.0,4.0,0.0,0,70.57,1.0,5.0,1.0,0
14,5,237.7,67.82,1.0,4.0,0.0,0,79.38,1.0,5.0,1.0,0
15,5,222.1,68.32,1.0,4.0,0.0,0,68.36,1.0,5.0,1.0,0
16,5,240.9,71.04,1.0,4.0,0.0,0,71.26,1.0,5.0,1.0,0
17,5,235.6,66.83,1.0,4.0,0.0,0,103.17,1.0,5.0,1.0,0
18,5,280.5,64.19,1.0,4.0,0.0,0,64.48,1.0,5.0,1.0,0
19,5,224.4,60.23,1.0,4.0,0.0,0,61.73,1.0,5.0,1.0,0
20,5,207.3,60.56,1.0,4.0,0.0,0,60.96,1.0,5.0,1.0,0
21,5,206.4,59.43,1.0,4.0,0.0,0,61.68,1.0,5.0,1.0,0
22,5,209.5,60.83,1.0,4.0,0.0,0,61.36,1.0,5.0,1.0,0
23,5,205.4,61.05,1.0,4.0,0.0,0,61.33,1.0,5.0,1.0,0
24,5,238.8,61.96,1.0,4.0,0.0,0,61.0,1.0,5.0,1.0,0
25,5,203.5,59.39,1.0,4.0,0.0,0,61.7,1.0,5.0,1.0,0
26,5,206.2,62.8,1.0,4.0,0.0,0,64.18,1.0,5.0,1.0,0
27,5,203.1,61.16,1.0,4.0,0.0,0,63.73,1.0,5.0,1.0,0
28,5,203.5,59.3,1.0,4.0,0.0,0,62.45,1.0,5.0,1.0,0
29,5,202.4,61.13,1.0,4.0,0.0,0,62.36,1.0,5.0,1.0,0
30,5,202.1,89.37,1.0,4.0,0.0,0,93.25,1.0,5.0,1.0,0
31,10,406.1,110.99,0.88,3.6,0.111,0,118.6,0.88,4.8,0.833,0
32,10,422.7,114.38,1.0,4.0,0.0,0,149.52,1.0,5.0,1.0,0
33,10,408.3,114.85,0.94,3.8,0.053,0,118.08,0.94,4.9,0.918,0
34,10,408.6,117.49,1.0,4.0,0.0,0,170.05,1.0,5.0,1.0,0
35,10,433.1,116.5,0.94,3.8,0.053,0,114.54,0.94,4.9,0.918,0
36,10,404.6,115.87,0.94,3.8,0.053,0,118.75,0.94,4.9,0.918,0
37,10,403.3,146.3,0.88,3.6,0.111,0,184.75,0.88,4.8,0.833,0
38,10,412.6,112.69,0.94,3.8,0.053,0,118.42,0.94,4.9,0.918,0
39,10,412.3,116.37,0.94,3.8,0.053,0,118.31,0.94,4.9,0.918,0
40,10,403.3,110.68,0.88,3.6,0.111,0,119.99,0.88,4.8,0.833,0
41,10,404.1,112.45,0.94,3.8,0.053,0,120.3,0.94,4.9,0.918,0
42,10,402.2,113.61,0.94,3.8,0.053,0,120.83,0.94,4.9,0.918,0
43,10,400.9,112.22,0.94,3.8,0.053,0,126.6,0.94,4.9,0.918,0
44,10,406.2,114.72,1.0,4.0,0.0,0,128.74,1.0,5.0,1.0,0
45,10,407.4,115.25,1.0,4.0,0.0,0,120.04,1.0,5.0,1.0,0
46,10,406.0,115.89,1.0,4.0,0.0,0,122.69,1.0,5.0,1.0,0
47,10,402.8,111.97,0.88,3.6,0.111,0,115.73,0.88,4.8,0.833,0
48,10,403.4,115.17,0.94,3.8,0.053,0,159.61,0.94,4.9,0.918,0
49,10,445.3,116.0,0.88,3.6,0.111,0,115.11,0.88,4.8,0.833,0
50,10,400.0,115.93,0.94,3.8,0.053,0,120.27,0.94,4.9,0.918,0
51,10,399.2,116.72,0.88,3.6,0.111,0,162.27,0.88,4.8,0.833,0
52,10,400.1,115.54,0.88,3.6,0.111,0,114.91,0.88,4.8,0.833,0
